teacher,dataset,acc_test,acc_top5
resnet50,flowers102,0.25226683937823835,0.5362046632742017
resnet50,pets,0.23206521739130434,0.598680124334667
vgg16,flowers102,0.20689766842466562,0.4921632124969996
vgg16,pets,0.27392598345227864,0.6567417186239491
convnext_small,flowers102,0.13947538861647787,0.4040803109425955
convnext_small,pets,0.2203804347826087,0.5655408903308536
